# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.4374400,0.4374400,0.4443547,-5.5813252,-4.3970063,-13.3004812,-1.1856490,-9.6973847,-35.9674071,-8.0872601,777.7109108
0.4424400,0.4424400,0.4493547,-5.3690680,-4.2275433,-12.8218241,-1.1384424,-9.3466559,-35.4481733,-17.9564219,667.7544571
0.4474400,0.4474400,0.4543547,-5.1664369,-4.0660135,-12.3618782,-1.0936102,-9.0098400,-34.8612163,-26.3979636,571.0121721
0.4524400,0.4524400,0.4593547,-4.9729772,-3.9120102,-11.9201449,-1.0510103,-8.6865362,-34.2207839,-33.5891552,485.8887573
0.4574400,0.4574400,0.4643547,-4.7882494,-3.7651456,-11.4960801,-1.0105100,-8.3763157,-33.5390567,-39.6821089,410.9879557
0.4624400,0.4624400,0.4693547,-4.6118303,-3.6250504,-11.0891082,-0.9719856,-8.0787311,-32.8263957,-44.8085801,345.0867827
0.4674400,0.4674400,0.4743547,-4.4433138,-3.4913739,-10.6986345,-0.9353220,-7.7933247,-32.0915742,-49.0839885,287.1132128
0.4724400,0.4724400,0.4793547,-4.2823111,-3.3637832,-10.3240540,-0.9004112,-7.5196351,-31.3419885,-52.6104715,236.1268427
0.4774400,0.4774400,0.4843547,-4.1284507,-3.2419626,-9.9647592,-0.8671529,-7.2572015,-30.5838459,-55.4790418,199.6910066
0.4824400,0.4824400,0.4893547,-3.9813785,-3.1256134,-9.6201461,-0.8354531,-7.0055680,-29.8223319,-57.7710639,159.9590322
0.4874400,0.4874400,0.4943547,-3.8407573,-3.0144526,-9.2896185,-0.8052240,-6.7642868,-29.0617562,-59.5592887,124.9958435
0.4924400,0.4924400,0.4993547,-3.7062664,-2.9082130,-8.9725918,-0.7763835,-6.5329201,-28.3056793,-60.9086417,94.2415407
0.4974400,0.4974400,0.5043547,-3.5776012,-2.8066416,-8.6684955,-0.7488548,-6.3110419,-27.5570230,-61.8768919,67.2046787
0.5024400,0.5024400,0.5093547,-3.4544724,-2.7094995,-8.3767753,-0.7225660,-6.0982396,-26.8181651,-62.5152698,43.4549376
0.5074400,0.5074400,0.5143547,-3.3366060,-2.6165609,-8.0968944,-0.6974496,-5.8941143,-26.0910210,-62.8690593,22.6162539
0.5124400,0.5124400,0.5193547,-3.2237418,-2.5276128,-7.8283345,-0.6734426,-5.6982815,-25.3771136,-62.9781708,4.3599370
0.5174400,0.5174400,0.5243547,-3.1156335,-2.4424536,-7.5705965,-0.6504857,-5.5103717,-24.6776337,-62.8776883,-11.6021263
0.5224400,0.5224400,0.5293547,-3.0120476,-2.3608932,-7.3232004,-0.6285235,-5.3300301,-23.9934909,-62.5983860,-25.5237374
0.5274400,0.5274400,0.5343547,-2.9127632,-2.2827520,-7.0856857,-0.6075037,-5.1569167,-23.3253581,-62.1672074,-37.6297306
0.5324400,0.5324400,0.5393547,-2.8175708,-2.2078603,-6.8576112,-0.5873776,-4.9907061,-22.6737084,-61.6077054,-48.1202572
0.5374400,0.5374400,0.5443547,-2.7262723,-2.1360579,-6.6385547,-0.5680989,-4.8310872,-22.0388477,-60.9404400,-57.1741012
0.5424400,0.5424400,0.5493547,-2.6386802,-2.0671933,-6.4281125,-0.5496246,-4.6777630,-21.4209418,-60.1833366,-64.9512420
0.5474400,0.5474400,0.5543547,-2.5546167,-2.0011236,-6.2258988,-0.5319140,-4.5304498,-20.8200400,-59.3520053,-71.5948937
0.5524400,0.5524400,0.5593547,-2.4739136,-1.9377134,-6.0315457,-0.5149288,-4.3888772,-20.2360947,-58.4600246,-77.2332021
0.5574400,0.5574400,0.5643547,-2.3964119,-1.8768351,-5.8447020,-0.4986328,-4.2527874,-19.6689785,-57.5191915,-81.9807221
0.5624400,0.5624400,0.5693547,-2.3219606,-1.8183678,-5.6650330,-0.4829923,-4.1219347,-19.1184989,-56.5397434,-85.9397446
0.5674400,0.5674400,0.5743547,-2.2504170,-1.7621973,-5.4922196,-0.4679752,-3.9960852,-18.5844101,-55.5305514,-89.2015096
0.5724400,0.5724400,0.5793547,-2.1816458,-1.7082154,-5.3259579,-0.4535513,-3.8750161,-18.0664239,-54.4992916,-91.8473203
0.5774400,0.5774400,0.5843547,-2.1155188,-1.6563199,-5.1659584,-0.4396922,-3.7585152,-17.5642185,-53.4525945,-93.9495668
0.5824400,0.5824400,0.5893547,-2.0519147,-1.6064140,-5.0119454,-0.4263710,-3.6463807,-17.0774459,-52.3961757,-95.5726613
0.5874400,0.5874400,0.5943547,-1.9907182,-1.5584061,-4.8636563,-0.4135624,-3.5384203,-16.6057382,-51.3349514,-96.7738888
