# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.4209750,0.4209750,0.6271786,-0.7368292,-5413.5491528,4553.8046512,-0.1855034,-1.2257329,-4.6122034,-9.2038888,3.0115324
0.4259750,0.4259750,0.6321786,-0.7135955,-5400.5884311,4544.1224963,-0.1795190,-1.1881192,-4.5100745,-9.3483255,0.8011687
0.4309750,0.4309750,0.6371786,-0.6912651,-5387.6762241,4534.4730110,-0.1737824,-1.1518624,-4.4076979,-9.4547793,-1.1985730
0.4359750,0.4359750,0.6421786,-0.6697991,-5374.8121834,4524.8561499,-0.1682811,-1.1169161,-4.3055377,-9.5268426,-3.0025527
0.4409750,0.4409750,0.6471786,-0.6491601,-5361.9959683,4515.2718645,-0.1630034,-1.0832340,-4.2039844,-9.5678906,-4.6250028
0.4459750,0.4459750,0.6521786,-0.6293121,-5349.2272464,4505.7201034,-0.1579383,-1.0507701,-4.1033645,-9.5811025,-6.0797291
0.4509750,0.4509750,0.6571786,-0.6102207,-5336.5056928,4496.2008120,-0.1530753,-1.0194795,-4.0039483,-9.5694695,-7.3800709
0.4559750,0.4559750,0.6621786,-0.5918529,-5323.8309902,4486.7139327,-0.1484046,-0.9893177,-3.9059574,-9.5357963,-8.5387599
0.4609750,0.4609750,0.6671786,-0.5741770,-5311.2028282,4477.2594050,-0.1439169,-0.9602418,-3.8095715,-9.4826982,-9.5677710
0.4659750,0.4659750,0.6721786,-0.5571630,-5298.6209037,4467.8371651,-0.1396035,-0.9322095,-3.7149338,-9.4125991,-10.4782134
0.4709750,0.4709750,0.6771786,-0.5407819,-5286.0849202,4458.4471465,-0.1354560,-0.9051801,-3.6221568,-9.3277306,-11.2802790
0.4759750,0.4759750,0.6821786,-0.5250064,-5273.5945875,4449.0892798,-0.1314668,-0.8791142,-3.5313259,-9.2301344,-11.9832454
0.4809750,0.4809750,0.6871786,-0.5098101,-5261.1496219,4439.7634929,-0.1276283,-0.8539737,-3.4425039,-9.1216667,-12.5955227
0.4859750,0.4859750,0.6921786,-0.4951680,-5248.7497457,4430.4697110,-0.1239337,-0.8297216,-3.3557345,-9.0040055,-13.1247316
0.4909750,0.4909750,0.6971786,-0.4810564,-5236.3946869,4421.2078565,-0.1203763,-0.8063227,-3.2710445,-8.8786600,-13.5777980
0.4959750,0.4959750,0.7021786,-0.4674523,-5224.0841794,4411.9778495,-0.1169498,-0.7837427,-3.1884474,-8.7469809,-13.9610521
0.5009750,0.5009750,0.7071786,-0.4543342,-5211.8179623,4402.7796078,-0.1136485,-0.7619490,-3.1079445,-8.6101715,-14.2803213
0.5059750,0.5059750,0.7121786,-0.4416814,-5199.5957800,4393.6130468,-0.1104666,-0.7409101,-3.0295277,-8.4693001,-14.5410091
