# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7650000,0.7650000,0.7650000,-0.0665540,-0.0019544,-0.6854885,-0.0665540,-5.7207291,-12.4188799,-0.0164044,-0.1120717,-2.1235196,-3.9930358,-0.0784612,-0.0496159,-0.8317352
0.7675000,0.7675000,0.7675000,-0.0652019,-0.0019343,-0.6785495,-0.0652019,-5.6620077,-12.2723407,-0.0160679,-0.1098157,-2.0992120,-3.9369659,-0.0768671,-0.0486081,-0.8148994
0.7700000,0.7700000,0.7700000,-0.0638817,-0.0019144,-0.6717045,-0.0638817,-5.6041956,-12.1278878,-0.0157396,-0.1076119,-2.0752761,-3.8818379,-0.0753105,-0.0476240,-0.7984578
0.7725000,0.7725000,0.7725000,-0.0625924,-0.0018948,-0.6649519,-0.0625924,-5.5472719,-11.9854856,-0.0154190,-0.1054590,-2.0517042,-3.8276336,-0.0737904,-0.0466629,-0.7823999
0.7750000,0.7750000,0.7750000,-0.0613333,-0.0018755,-0.6582901,-0.0613333,-5.4912165,-11.8450991,-0.0151062,-0.1033556,-2.0284885,-3.7743355,-0.0723060,-0.0457244,-0.7667158
0.7775000,0.7775000,0.7775000,-0.0601037,-0.0018565,-0.6517177,-0.0601037,-5.4360100,-11.7066938,-0.0148007,-0.1013006,-2.0056218,-3.7219263,-0.0708562,-0.0448078,-0.7513955
0.7800000,0.7800000,0.7800000,-0.0589026,-0.0018377,-0.6452332,-0.0589026,-5.3816333,-11.5702363,-0.0145025,-0.0992925,-1.9830967,-3.6703890,-0.0694402,-0.0439125,-0.7364298
0.7825000,0.7825000,0.7825000,-0.0577294,-0.0018192,-0.6388350,-0.0577294,-5.3280681,-11.4356936,-0.0142113,-0.0973304,-1.9609063,-3.6197071,-0.0680570,-0.0430379,-0.7218093
0.7850000,0.7850000,0.7850000,-0.0565833,-0.0018009,-0.6325217,-0.0565833,-5.2752963,-11.3030333,-0.0139269,-0.0954129,-1.9390439,-3.5698645,-0.0667058,-0.0421836,-0.7075250
0.7875000,0.7875000,0.7875000,-0.0554637,-0.0017829,-0.6262920,-0.0554637,-5.2233007,-11.1722239,-0.0136492,-0.0935390,-1.9175026,-3.5208453,-0.0653857,-0.0413490,-0.6935684
0.7900000,0.7900000,0.7900000,-0.0543698,-0.0017651,-0.6201444,-0.0543698,-5.1720642,-11.0432343,-0.0133780,-0.0917075,-1.8962762,-3.4726339,-0.0640960,-0.0405335,-0.6799308
0.7925000,0.7925000,0.7925000,-0.0533009,-0.0017476,-0.6140776,-0.0533009,-5.1215705,-10.9160343,-0.0131130,-0.0899174,-1.8753583,-3.4252151,-0.0628358,-0.0397368,-0.6666042
0.7950000,0.7950000,0.7950000,-0.0522565,-0.0017303,-0.6080902,-0.0522565,-5.0718035,-10.7905938,-0.0128542,-0.0881676,-1.8547428,-3.3785742,-0.0616045,-0.0389582,-0.6535805
0.7975000,0.7975000,0.7975000,-0.0512358,-0.0017132,-0.6021810,-0.0512358,-5.0227477,-10.6668839,-0.0126014,-0.0864572,-1.8344238,-3.3326965,-0.0604012,-0.0381973,-0.6408519
0.8000000,0.8000000,0.8000000,-0.0502383,-0.0016963,-0.5963486,-0.0502383,-4.9743880,-10.5448757,-0.0123544,-0.0847851,-1.8143955,-3.2875677,-0.0592252,-0.0374538,-0.6284109
0.8025000,0.8025000,0.8025000,-0.0492634,-0.0016797,-0.5905919,-0.0492634,-4.9267096,-10.4245414,-0.0121131,-0.0831504,-1.7946523,-3.2431740,-0.0580758,-0.0367270,-0.6162502
0.8050000,0.8050000,0.8050000,-0.0483105,-0.0016633,-0.5849095,-0.0483105,-4.8796984,-10.3058532,-0.0118772,-0.0815520,-1.7751887,-3.1995016,-0.0569524,-0.0360166,-0.6043627
0.8075000,0.8075000,0.8075000,-0.0473790,-0.0016471,-0.5793004,-0.0473790,-4.8333403,-10.1887844,-0.0116468,-0.0799893,-1.7559993,-3.1565371,-0.0558542,-0.0353223,-0.5927413
0.8100000,0.8100000,0.8100000,-0.0464684,-0.0016312,-0.5737632,-0.0464684,-4.7876219,-10.0733083,-0.0114216,-0.0784611,-1.7370789,-3.1142675,-0.0547806,-0.0346434,-0.5813794
0.8125000,0.8125000,0.8125000,-0.0455782,-0.0016154,-0.5682969,-0.0455782,-4.7425299,-9.9593992,-0.0112014,-0.0769667,-1.7184224,-3.0726799,-0.0537311,-0.0339798,-0.5702704
0.8150000,0.8150000,0.8150000,-0.0447078,-0.0015998,-0.5629003,-0.0447078,-4.6980517,-9.8470315,-0.0109863,-0.0755053,-1.7000250,-3.0317616,-0.0527050,-0.0333309,-0.5594080
0.8175000,0.8175000,0.8175000,-0.0438567,-0.0015845,-0.5575724,-0.0438567,-4.6541746,-9.7361802,-0.0107759,-0.0740760,-1.6818817,-2.9915005,-0.0517016,-0.0326965,-0.5487859
